N_ait [m^-3],R_ait [m],GSD_ait [unitless],N_acc [m^-3],R_acc [m],GSD_acc [unitless],N_coa [m^-3],R_coa [m],GSD_coa [unitless],N_mcb [m^-3],R_mcb [m],GSD_mcb [unitless],temperature [K],pressure [Pa],updraft [m s^-1],ait_maf [unitless],acc_maf [unitless],coa_maf [unitless],mcb_maf [unitless],Nact [m^-3],Smax [%%],runtime_seconds [s]
307430000.0,0.024093,1.59,554320000.0,0.1055,1.4,3373200.0,0.79155,2.0,597820000.0,0.034829,1.2752,258.88,79849.0,0.086251,0.38024,0.37631,0.9416,1.0,328410000.0,0.091141,2.9525
1302900000.0,0.017729,1.59,1157200000.0,0.05738,1.4,5573700.0,0.60526,2.0,1814100000.0,0.1217,1.985,243.01,61567.0,0.26281,0.34144,0.13858,0.98355,1.0,648880000.0,0.041803,436.39
547320000.0,0.03694,1.59,1339000000.0,0.10728,1.4,1337900.0,0.35722,2.0,1945200000.0,0.028856,1.4489,258.21,80067.0,0.089049,0.82531,0.79884,0.92171,1.0,555920000.0,0.050784,8.0362
772180000.0,0.042267,1.59,862240000.0,0.12475,1.4,292350.0,0.21186,2.0,6959400.0,0.044528,1.9718,290.87,60378.0,0.015338,0.91904,0.21955,0.95491,1.0,74133000.0,0.034041,7.9537
1621900000.0,0.036595,1.59,158600000.0,0.098822,1.4,425470.0,0.42375,2.0,357770000.0,0.030245,1.9244,292.86,80538.0,0.23575,0.079803,0.49664,0.93471,1.0,273650000.0,0.13842,0.76266
1671900000.0,0.035919,1.59,751270000.0,0.059169,1.4,4987000.0,0.51247,2.0,225760000.0,0.089245,1.9948,267.0,91699.0,0.50314,0.088937,0.49864,0.91546,1.0,763290000.0,0.20739,0.80392
1435100000.0,0.038262,1.59,588850000.0,0.1179,1.4,1536600.0,0.19059,2.0,192050000.0,0.10601,1.4155,255.65,57431.0,0.83237,0.08651,0.16824,0.95303,1.0,844670000.0,0.26371,0.70112
1963100000.0,0.036548,1.59,545900000.0,0.067236,1.4,228110.0,0.50092,2.0,1812200000.0,0.11166,1.6476,257.44,101310.0,0.10546,0.388,0.14138,0.99361,1.0,578110000.0,0.027544,67.362
178170000.0,0.028663,1.59,109420000.0,0.11529,1.4,4875900.0,0.30989,2.0,354360000.0,0.1305,1.5126,246.45,86821.0,0.33525,0.73884,0.87196,0.97127,1.0,471280000.0,0.14466,1.2633
991990000.0,0.023651,1.59,1408800000.0,0.12089,1.4,3483500.0,0.53504,2.0,1199500000.0,0.051058,1.791,251.98,98157.0,0.19001,0.91888,0.2276,0.99,1.0,1118000000.0,0.089279,2.6755
1299000000.0,0.028756,1.59,982150000.0,0.063896,1.4,1502500.0,0.81602,2.0,1888300000.0,0.050022,1.7205,257.39,92536.0,1.0168,0.67593,0.87653,0.91422,1.0,2584000000.0,0.23511,0.62028
1211900000.0,0.034657,1.59,1164700000.0,0.1257,1.4,5243200.0,0.6728,2.0,1175600000.0,0.13168,1.7829,285.1,80986.0,0.11463,0.65145,0.63717,0.97753,1.0,309100000.0,0.014495,77.133
1193300000.0,0.024043,1.59,1268400000.0,0.093502,1.4,4260000.0,0.37648,2.0,1018700000.0,0.11657,1.8495,288.39,57923.0,0.5854,0.30119,0.22855,0.93389,1.0,639710000.0,0.038457,2.7207
1139200000.0,0.012807,1.59,1210700000.0,0.1204,1.4,4428400.0,0.81473,2.0,1174600000.0,0.015419,1.9945,273.98,52225.0,0.96907,0.35367,0.37336,0.91538,1.0,1200700000.0,0.13306,0.75273
1100800000.0,0.025645,1.59,1233000000.0,0.097807,1.4,483880.0,0.55123,2.0,381680000.0,0.068703,1.8057,289.74,87046.0,0.48857,0.82659,0.82856,0.94168,1.0,1199900000.0,0.080489,0.57333
49928000.0,0.03719,1.59,7047900.0,0.073993,1.4,4314700.0,0.53743,2.0,98814000.0,0.12527,1.3447,296.34,73721.0,0.85942,0.23399,0.44906,0.97368,1.0,125200000.0,0.28512,0.52566
1679300000.0,0.018836,1.59,1041400000.0,0.074633,1.4,4427600.0,0.4313,2.0,1116200000.0,0.11682,1.6001,293.85,53213.0,0.21053,0.19821,0.43946,0.96412,1.0,390130000.0,0.02236,11.649
1971400000.0,0.027195,1.59,1113500000.0,0.062989,1.4,3628900.0,0.34145,2.0,14485000.0,0.098214,1.3772,274.64,96270.0,0.41523,0.57498,0.18762,0.91361,1.0,961180000.0,0.24299,0.53859
976070000.0,0.022045,1.59,1285500000.0,0.058944,1.4,4498700.0,0.82865,2.0,986020000.0,0.093354,1.8128,245.88,68647.0,0.33459,0.77729,0.44043,0.99465,1.0,690960000.0,0.077331,4.7619
72615000.0,0.014392,1.59,453690000.0,0.063238,1.4,331080.0,0.56143,2.0,67722000.0,0.080167,1.9775,272.13,94962.0,0.74156,0.27338,0.28235,0.96997,1.0,475170000.0,0.36397,0.4851
1522500000.0,0.025341,1.59,637280000.0,0.058547,1.4,593670.0,0.39348,2.0,539330000.0,0.14214,1.2915,273.76,63600.0,0.62578,0.55872,0.65772,0.92047,1.0,661440000.0,0.089058,0.62742
2006100000.0,0.016168,1.59,882940000.0,0.11186,1.4,2410100.0,0.22945,2.0,466740000.0,0.13468,1.924,258.81,91789.0,0.062646,0.55275,0.31415,0.93326,1.0,188340000.0,0.022559,100.85
2042800000.0,0.039109,1.59,953200000.0,0.081517,1.4,1493300.0,0.25232,2.0,57359000.0,0.098038,1.4644,265.19,66588.0,0.4601,0.63416,0.62409,0.9466,1.0,1238200000.0,0.1501,0.56776
1953900000.0,0.020241,1.59,269110000.0,0.070651,1.4,5274000.0,0.51083,2.0,227510000.0,0.057012,1.4683,280.48,85824.0,0.37273,0.37359,0.36437,0.95234,1.0,441650000.0,0.1922,0.5696
18834000.0,0.019845,1.59,364200000.0,0.11236,1.4,3935300.0,0.62553,2.0,1895100000.0,0.14636,1.3607,286.02,53542.0,0.95086,0.45749,0.84142,0.96651,1.0,1673600000.0,0.034381,3.8478
1166600000.0,0.02752,1.59,926420000.0,0.091362,1.4,3634200.0,0.41513,2.0,1821000000.0,0.12975,1.9653,271.83,91413.0,0.010395,0.33827,0.13579,0.96065,1.0,0.0,-0.0077008,350.69
1790000000.0,0.017637,1.59,574230000.0,0.066954,1.4,4726900.0,0.17726,2.0,1289200000.0,0.0061116,1.8049,289.65,76052.0,0.058953,0.27823,0.36534,0.96145,1.0,153290000.0,0.10058,2.5465
831460000.0,0.018617,1.59,635060000.0,0.063785,1.4,3961400.0,0.20767,2.0,1634400000.0,0.066993,1.7357,257.65,81634.0,0.9673,0.51207,0.27229,0.91684,1.0,1704700000.0,0.19789,0.7796
875770000.0,0.041219,1.59,713410000.0,0.078375,1.4,5016500.0,0.66941,2.0,335210000.0,0.084691,1.9503,251.04,94227.0,1.0115,0.0095058,0.90934,0.93095,1.0,1037200000.0,0.33293,0.69266
1954200000.0,0.040459,1.59,1419300000.0,0.067702,1.4,3243300.0,0.2328,2.0,858890000.0,0.031719,1.5412,263.77,98110.0,0.69817,0.40208,0.53107,0.94984,1.0,2312300000.0,0.24026,0.86388
410010000.0,0.046344,1.59,58765000.0,0.085076,1.4,893760.0,0.63182,2.0,1254600000.0,0.088658,1.2943,262.16,93705.0,0.37559,0.83521,0.7499,0.95003,1.0,1319500000.0,0.10362,1.5938
1623200000.0,0.041172,1.59,1440100000.0,0.060707,1.4,2809600.0,0.78952,2.0,164260000.0,0.10586,1.4301,274.52,66938.0,0.23865,0.59231,0.65754,0.9871,1.0,630620000.0,0.093223,1.3952
830490000.0,0.044993,1.59,1363200000.0,0.059344,1.4,5028700.0,0.48096,2.0,242870000.0,0.14611,1.771,258.5,73100.0,0.64701,0.036141,0.87074,0.92558,1.0,1116500000.0,0.15874,1.08
1026300000.0,0.014117,1.59,611910000.0,0.1148,1.4,1155900.0,0.72497,2.0,971130000.0,0.12321,1.4736,274.6,68878.0,0.025269,0.86945,0.40406,0.95709,1.0,123970000.0,0.015494,150.79
836560000.0,0.045121,1.59,1295800000.0,0.11528,1.4,4938400.0,0.63398,2.0,913890000.0,0.007832,1.3324,248.84,95839.0,0.016051,0.015452,0.49611,0.9778,1.0,108960000.0,0.033095,118.1
260850000.0,0.0325,1.59,258030000.0,0.069017,1.4,4815500.0,0.70915,2.0,1041100000.0,0.13311,1.4584,270.15,73147.0,1.0141,0.6424,0.95406,0.99757,1.0,1157600000.0,0.092653,0.97946
1826600000.0,0.02564,1.59,161310000.0,0.11105,1.4,1930800.0,0.57426,2.0,1696100000.0,0.10369,1.5287,269.24,65679.0,1.1412,0.43412,0.94999,0.99005,1.0,1670300000.0,0.089765,0.89043
729780000.0,0.034809,1.59,1072500000.0,0.090939,1.4,5137700.0,0.52707,2.0,946270000.0,0.058084,1.9248,245.22,55938.0,0.29055,0.88245,0.30997,0.99908,1.0,830180000.0,0.099185,3.5303
1569100000.0,0.027325,1.59,738840000.0,0.073533,1.4,2020300.0,0.56404,2.0,1106400000.0,0.058668,1.9254,294.43,94611.0,0.43799,0.39018,0.76528,0.98793,1.0,948270000.0,0.084598,1.1088
558380000.0,0.019097,1.59,1175500000.0,0.074586,1.4,4464800.0,0.56113,2.0,1981500000.0,0.1215,1.2209,287.6,87441.0,0.93317,0.041388,0.49921,0.93466,1.0,2130100000.0,0.059988,1.109
965340000.0,0.0348,1.59,356580000.0,0.12051,1.4,371650.0,0.58065,2.0,1954700000.0,0.021628,1.5491,269.24,78585.0,0.13808,0.036725,0.23763,0.9578,1.0,369370000.0,0.12988,1.8134
1257700000.0,0.015403,1.59,692440000.0,0.097909,1.4,1592400.0,0.34657,2.0,251640000.0,0.1233,1.3859,290.82,54789.0,0.51821,0.25509,0.88346,0.96907,1.0,733430000.0,0.068714,1.0442
1691100000.0,0.047959,1.59,761010000.0,0.078096,1.4,85136.0,0.28138,2.0,1438500000.0,0.029525,1.5737,259.47,56557.0,0.093412,0.75511,0.36722,0.92021,1.0,479380000.0,0.090546,2.8081
1632600000.0,0.03953,1.59,466700000.0,0.09869,1.4,1613000.0,0.82748,2.0,1594600000.0,0.13842,1.6731,280.07,90959.0,0.19178,0.43816,0.54164,0.9584,1.0,608770000.0,0.019787,49.993
1031100000.0,0.042849,1.59,960080000.0,0.068905,1.4,4998500.0,0.50786,2.0,94482000.0,0.074742,1.9035,274.88,59076.0,0.62973,0.11182,0.36278,0.99093,1.0,855720000.0,0.19451,0.67932
103260000.0,0.040155,1.59,369740000.0,0.07307,1.4,4479600.0,0.86292,2.0,91887000.0,0.12819,1.6083,244.51,71689.0,0.096871,0.91301,0.66431,0.98732,1.0,208860000.0,0.092401,5.5184
929850000.0,0.028901,1.59,1402500000.0,0.07767,1.4,5286200.0,0.74774,2.0,1309200000.0,0.094676,1.5467,274.3,54165.0,0.84028,0.48465,0.83435,0.96494,1.0,1527100000.0,0.070815,1.7833
1407100000.0,0.025215,1.59,439820000.0,0.085621,1.4,135110.0,0.24323,2.0,1681400000.0,0.08077,1.5315,275.18,58142.0,1.0037,0.61132,0.061095,0.91923,1.0,1447400000.0,0.10654,0.86103
1350800000.0,0.034506,1.59,718990000.0,0.065996,1.4,3629700.0,0.49135,2.0,283810000.0,0.011261,1.8645,246.28,55102.0,1.0489,0.36522,0.84176,0.96483,1.0,1328500000.0,0.42481,0.87304
1876500000.0,0.045899,1.59,1192600000.0,0.075275,1.4,5867200.0,0.62427,2.0,1404800000.0,0.10711,1.5914,259.67,99404.0,1.1083,0.22631,0.66115,0.9207,1.0,2349100000.0,0.13815,1.0821
1953700000.0,0.029658,1.59,1516900000.0,0.058718,1.4,403150.0,0.22079,2.0,1423000000.0,0.013733,1.3543,276.95,82044.0,0.85045,0.91612,0.66379,0.94319,1.0,1820800000.0,0.22368,0.72902
328280000.0,0.044263,1.59,1523500000.0,0.061689,1.4,1915300.0,0.74349,2.0,760650000.0,0.10448,1.354,254.03,98427.0,0.72048,0.27662,0.81471,0.93029,1.0,1913600000.0,0.17923,1.0946
1868300000.0,0.038567,1.59,1369100000.0,0.12293,1.4,5258600.0,0.68296,2.0,1887700000.0,0.12543,1.3892,257.06,91708.0,1.1042,0.9219,0.12642,0.94399,1.0,2560500000.0,0.097825,1.8232
